channel_name,channel_logos,channel_link,m3u8_link
Samaa News,http://ebravo.pk/classic/uploads/webtv//db626388ffadd86232b3f126593e4935.jpg,http://ebravo.pk/classic/webtv-78.html,http://58.65.194.14:1935/live/Samaa.stream/playlist.m3u8
SciFi HD ,http://ebravo.pk/classic/uploads/webtv//3d36ae6c8acf22fd3b4dca01f85560fc.jpg,http://ebravo.pk/classic/webtv-296.html,http://58.65.194.14:1935/live/ScifiUniversal.stream/playlist.m3u8
Sindh TV ,http://ebravo.pk/classic/uploads/webtv//1b7ad2744e833cc29d2c29fdc8c2870c.jpg,http://ebravo.pk/classic/webtv-324.html,http://58.65.194.14:1935/live/Sindh-TV.stream/playlist.m3u8
Sindh TV News,http://ebravo.pk/classic/uploads/webtv//6315964f181b9b2957d042a40a8bc2c9.jpg,http://ebravo.pk/classic/webtv-323.html,http://58.65.194.14:1935/live/Sindh-TV-News.stream/playlist.m3u8
Start Sports HD 1,http://ebravo.pk/classic/uploads/webtv/Sports/97495ac077d4d58c043c0c55f87d0d47.jpg,http://ebravo.pk/classic/webtv-341.html,http://192.168.246.134:1935/live/Star-Sports-HD-1.stream/playlist.m3u8
Such News HD,http://ebravo.pk/classic/uploads/webtv//0b7119f394a319278f89157e1b3f25b1.jpg,http://ebravo.pk/classic/webtv-178.html,http://58.65.194.14:1935/live/SuchTV.stream/playlist.m3u8
TRT World HD,http://ebravo.pk/classic/uploads/webtv//385c16d9b280c9a27eed0e8fd8dfe8fe.jpg,http://ebravo.pk/classic/webtv-297.html,http://58.65.194.14:1935/live/TRTWorldHD.stream/playlist.m3u8
TV One,http://ebravo.pk/classic/uploads/webtv//4e10d97d0aeefe626cf7ce521c954b92.jpg,http://ebravo.pk/classic/webtv-187.html,http://58.65.194.14:1935/live/TV-One.stream/playlist.m3u8
Ten Sports-1,http://ebravo.pk/classic/uploads/webtv//6a0539b834b6dabf4a3e56b8e842b0f4.jpg,http://ebravo.pk/classic/webtv-162.html,http://203.101.163.5:1935/live/Tensports.stream/playlist.m3u8
Ten Sports-2,http://ebravo.pk/classic/uploads/webtv/Sports/cf833372e2f49a7f705af27e74267950.jpg,http://ebravo.pk/classic/webtv-334.html,http://192.168.246.102:1935/live/tensports.stream/playlist.m3u8
Ten Sports-3,http://ebravo.pk/classic/uploads/webtv/Sports/bb3299d74cfcb003b14eb5740487493c.jpg,http://ebravo.pk/classic/webtv-333.html,http://192.168.246.134:1935/live/tensports.stream/playlist.m3u8
Travel Channel HD ,http://ebravo.pk/classic/uploads/webtv//8362014ff7d8a1d7dadf79567b74e07a.jpg,http://ebravo.pk/classic/webtv-318.html,http://58.65.194.14:1935/live/Travel-Channel-HD.stream/playlist.m3u8
Urdu 1,http://ebravo.pk/classic/uploads/webtv//2a000030f8205c960fa11d5c96085b05.jpg,http://ebravo.pk/classic/webtv-67.html,http://58.65.194.14:1935/live/Urdu-1.stream/playlist.m3u8
WB TV HD ,http://ebravo.pk/classic/uploads/webtv//c6455cbb61bf39c4b02aafc113945ec8.jpg,http://ebravo.pk/classic/webtv-310.html,http://58.65.194.14:1935/live/tnt.stream/playlist.m3u8
minikaGO,http://ebravo.pk/classic/uploads/webtv//cea49c9f7cd0f0477e3d218e174d8419.jpg,http://ebravo.pk/classic/webtv-287.html,http://58.65.194.14:1935/live/minika.stream/playlist.m3u8
